input,target
NVRBCR,NVRBCR
125MG,125MG
CHKD,CHKD
C32,C32
IDD,IDD
IDPD,IDPD
KWDT,KWDT
GHK,GHK
HNM,HNM
KD,KD
MM,MM
80,C8
16,C16
10,10
ID16,ID16
25,25
GCSB,GCSB
CLCL100,PD100
RT,RT
M04,MO4
TON,TON
OLM,OLM
OLM,OLM
KD,KD
R15,R150
ODR,ODR
PICKE,KOS
KPP,KPP
GMP,GMP
G10,G10
G40,G40
620,G20
BT22,BT22
BT10,BT10
BT20,BT20
BT40,BT40
OM,OM
WALC43,WALC43
RPYOC,RPYOC
AFOKI,AFDKI
HM7,HM1
GX623,GX623
DWPWS,DWPWS
MMHC,MMHC
DCHCM,DCHCM
GHT,GHT
CO10P,CO10P
DKPPO,DKPP0
RPMB,RPMB
RD,RD
GILEAO4331,GILEAD4331
KPP,KPP
KPP,KPP
CT,CT
UT,UT
MF350,MF350
KD,KD
HA,63
CGP,CGP
MFT350,MFT350
PR300,PR300
KPP,KPP
IBNMLX,IBNMLX
AD,PV
NB,NB
C75,C75
C77,C77
PU,PU
VMP,VMP
KPP,KPP
WK,WK
5MG,5MG
10MG,10MG
DIA60,DIA60
SP,SP
SP,SP
IDP,IDPM
GSUHL,GSUHL
GSJT,GSJT
PBT2,PBT2
DM40,DM40
KD,KD
PBT1,PBT1
LRC,HWLRC
VS,C16
HA,16
A1,A1
A2,A2
A3,A3
AC,AC
BR,BR
BR,BR
JK,JK
JK,JK
KLHNPX,KLNNPX
Q300,Q300
AS2,ASZ
SIL,H24
ZY,ZY
WPICKI,M1
KPAC,M2
JIWP,JIWP
KPP,KPP
KPP,KPP
KDCNTC16,KDCNTC16
KDCNTC24,KDCNTC24
SC,SC
373,373
P40,P40
P20,P20
HANA,HANA
75,75
HMC14,HMC14
KK,KK
RXMRP,RXMRP
WPICKI,DPC2
HM202,HM202
HDNB,HDNB
PT2,PT2
RPMGF,RPMGF
IYL,IYL
IYSCP,IYSCP
KDPNIGHT,KDPNIGHT
DAPTP,DAPTP
VD10,VD10
NVR,NVR
JJ,JJ
10,10
ETX,ETX
YDBFS,YDBFS
MM,MM
WPICKE,V16
MEN,MFN
WPICKI,BM
IDP,IDP
IDP,IDP
NTB,NTB
LL,LL
BR,BR
BR,BR
KJ,KJ
YJ,YJ
CKNVT,NVT
DWPNB,DWPNB
WPICKP,JUNVT
KDLKDL,KDLKDL
SCT,SCT
KPAC,OXN
PICKE,OXN
MGC,MGC
90T,90T
TKS10TKS10,TKS10TKS10
TNS,TNS
TNE,TNE
VT,VT
GSFC2,GSFC2
MMCM,MMCM
GHF,GHF
ZA,ZA
V160,V160
DW,DW
20,E20
K20,K20
TN,TN
KPAC,PU25MG
BGD,BGD
RPUDQ,RPUDQ
OX20,OX20
MMCC,MMCC
MMG,MMG
MMCL,MMCL
VA,VA
40,40
MMNA,MMNA
KD,KD
KD,KD
PA,PA
YHHIA,YH
WK,WK
C20,C20
MK,MK
SCD,SCD
WK,WK
UT,UT
UT,UT
UT,UT
OLM,OLM
KD,KD
1320,B20
25,25
20,20
CALTRATE,CALTRATE
YJCDV,YJCDV
800CN,8CN
711,711
275,275
117,117
WI,WI
CGP,CGP
SH,HS
ATC,ATC
ATCH,ATCH
KS,KS
HMC19,HMC19
LCR,LCR
KPP,KPP
CKD,CKD
CKD,CKD
SP,150P
HM,HM
HM,HM
HM,HM
HM,HM
YJ,YJ
ZO250,OZ5
10ZO,OZ10
T4,T4
T8,T8
AT,AT
10OLDW,OL10DW
ZY10CD,ZY10CD
20ESZ,20ESZ
E20,E20
LGESM20,LGESM20
AF,AF
SNPBG,SNPBG
VAC,VAC
VACH,VACH
CAMD,CAMD
MMDB300,MMDB300
BMS100,BMS100
OGOG2929,OGOG2929
SP,150
SP,300
AW10,AW10
OTM,OTM
SNPCT,SNPCT
OTM,OTM
OTM,OTM
2570DW,OL25DW
FVT,FVT
FUTS,FVTS
FVTH,FVTH
15CD,ZY5CD
OLSDW,OL5DW
25CD,ZY25CD
AG,AG
CACM,CACM
ASP75,ASP75
SH,HS
CTWCB,CTWCB
KSNC,KSNC
FACL,FACL
VH80,VH80
MTL,MTL
MM,MM
MM,MM
HNB5,HNB5
BE,BE
DAHP,DAHP
HIBFS,HIBFS
KPI,YJ2
PV,PV
ZJ,ZJ
ID2,ID2
LPT2,LPT2
PITA,PITA
WI,WI
PST,PST
AJP2,JP2
BIP,BIP
PV2,PV2
PVT,PVT
KII,KII
WPICKI,DC
MA,DW
DSCC,DSCC
LL,LL
CJ,VK
HIM,HM
1171,HM
HM,HM
PV,PV
77,V40
PV,PV
PV,PV
SAMSCA15,SAMSCA15
SAMSCA30,SAMSCA30
HCAPHCAP,HCAPHCAP
HS,HS
GP,GP
HOBT,HOBT
NH,HN
ET,ET
HW,HW
A10,A10
SI,SI
TD,TD
YI76,YI76
LM25,LM25
AJ502,J502
WIPEN75,WIPEN75
WIPEN150,WIPEN150
BMI119,BMI119
SP,100
HLPGN75,HLPGN75
HLPGN150,HLPGN150
AJUPG150,AJUPG150
AJUPG75,AJUPG75
DC25,DC25
IYPGN75,IYPGN75
IYPGN150,IYPGN150
PGN75,PGN75
DPGN150,PGN150
YJPPGN75,YJPPGN75
YJPPGN150,YJPPGN150
SKPGN150,SKPGN150
MKP15C,MKP150
AML100,AML100
1IM,HM
RPSAP,RPSAP
RPSAC,RPSAC
COCAPCOCAP,COCAPCOCAP
NCAPNCAP,NCAPNCAP
GNH,GNH
TBD,TBD
SNPLSC30,SNPLSC30
ETJFD,ETJF
BGC,BGC
DM80,DM80
WY20,WY20
MM,MM
MM,MM
DWIB,DWIB
T38,T38
SIL,SIL
SRP,SRP
BINEXBCL,BINEXBCL
KPP,KPP
KPP,KPP
MI,MI
SA,10
HIM,HM
RSD3,RSD3
YH,YH
DA,DA
UM,UM
HMMLX75,HMMLX75
KP,DW
CAF,CF
KDFQ,KDFQ
DADPQ,DADPQ
JW,JW
DW,DW
WALC46,WALC46
MPH5,MPH5
MPH4040,MPH40
MPH10,MPH10
MPH30,MPH30
MPH20,MPH20
UTCLDUO,UTCLDUO
DPCPGN150,DPCPGN150
DPCPGN75,DPCPGN75
R5DIO,CKDRSD10
GH,YH
PC8,C8
PCI6,C16
C0A,CO
HE,HF
GHI,IHP
MMDIMD,MMD
MOBIC7SM,MOBIC75MG
MOB1C15M,MOBIC15MG
JIAND,JIN
25,SZ
ZS,SZ
25,SZ
ZS,SZ
TONEXFDV,TONEXF
NDONG,NKYUNGDONG
0GTI0O,OGT918100
DN,25
ZS,SZ
1DPO,IDPA
K0REAPHA,SMT50
30,DWP
KPA,RNP
EYRON,PEYRON
MSQ,SQ
KPG,NF
CFT,CTT
00D,DID
Z5,SZ
2S,SZ
25,SZ
GNO,ORGANON
Z5Z63,263
KN7,KN1
1KAPT5,KAPTS
81NEXNXK,NXK
IOI,ID1
KPAG,CS
V5A,CH
CAJ,CJ
1IDTI,DT
TOMA5M,TOMAS
NXO,OXN
NXO,OXN
23,EN
NENL4S,NL4S
0KHTG,HTC
5L,T11
WP1CKP,T12
WPIG,MM
NX3Z5S9,GSNX325
UFU5OB9,GSUFU50
1O,M10
OS,HMD5
KPG,JX
HWOLIETIZO,OLIET120
2O0,Q200
5KF4O,SKE40
PARI,PAR1
CLLH,HIP
KPAC,DW
1Y40,IY40
IY8O,IY80
5L,A10
1DE,IDA
IO,ID
SP,C16
LH0P5,OL5HDP
3Z50,80MG3250
ONOLAMR,MONOLAIR
MT4,MT4KDC
25HOP,OL25HDP
5P,C8
M0S,MO5
1OH0P,OL10HDP
BT08TOUBP,BTOUBP
CJA,ACJ
1ETX5BT1,ETXSBT
SL,H21
WPIGK1,H22
RU,DWPRU
DWPPUR,DWPRU
HIM,HM
ZOIO,R20
SO20,CKDRSD20
R5LSV1O,RSV10
I0P,R10
DPC,DPCNKG
AL,BS
AL,LM
AL,BL
AL,10
AL,P600
MO,DW
AR1S,ARI5
AR11O,ARI10
NH,HN
8O,C8
16,C16
GLCL1O0,PD100
M04,MO4
RIS,R150
PICKE,KOS
620,G20
AFOK1,AFDKI
HM7,HM1
DKPPO,DKPP0
CILEAO433I,GILEAD4331
HA,63
AD,PV
IDP,IDPM
LRG,HWLRC
V5,C16
HA,16
KLHNPX,KLNNPX
A5Z,ASZ
SIL,H24
WPICKI,M1
KPAG,M2
WPICK1,DPC2
WPICKE,V16
MEN,MFN
WP1CKI,BM
CKNVT,NVT
WPIGKP,JUNVT
KPAC,OXN
PICKE,OXN
Z0,E20
KPAC,PU25MG
YHHIA,YH
I3Z0,B20
80OGN,8CN
5H,HS
5P,150P
Z0ZSO,OZ5
IO20,OZ10
I0OLDW,OL10DW
5P,150
5P,300
2570DW,OL25DW
FUT5,FVTS
ISCD,ZY5CD
OLSDW,OL5DW
ZSGD,ZY25CD
5H,HS
KP1,YJ2
AJPZ,JP2
WP1CKI,DC
MA,DW
GJ,VK
HIM,HM
I17I,HM
O77,V40
NH,HN
AJSOZ,J502
5P,100
DPGN1SO,PGN150
MKPI5G,MKP150
IIM,HM
ETJFD,ETJF
5A,10
HIM,HM
KP,DW
CAF,CF
MPH4O4O,MPH40
